date,netflow_eth,is_partial
2026-06-01,-9204.369465806303,False
2026-06-02,12534.450510672725,False
2026-06-03,-22629.454962766988,False
2026-06-04,12532.122057909422,False
2026-06-05,14538.7867614303,False
2026-06-06,-101651.73907308486,False
2026-06-07,-2114.884915310561,False
2026-06-08,8273.839203747208,False
2026-06-09,15545.877853987187,False
2026-06-10,7927.874884936435,False
2026-06-11,6033.44152937467,False
2026-06-12,7210.551379103912,False
2026-06-13,-20649.704963978213,False
2026-06-14,-701.6655974374539,False
2026-06-16,8179.617678146075,False
2026-06-17,-19863.21140078805,False
2026-06-19,112875.71853235977,False
2026-06-20,461.70185692568606,False
2026-06-21,3466.5174471688497,False
2026-06-22,-16947.38767910451,False
2026-06-24,8085.153987863647,False
2026-06-25,3701.533813092761,False
2026-06-26,4684.045960368144,False
2026-06-27,56268.64141791101,False
2026-06-28,-11635.448698097434,False
2026-06-29,-19608.887789092805,False
2026-06-30,6641.227035891252,False
2026-07-01,4761.418758176544,False
2026-07-02,2596.9653284129563,False
2026-07-03,6879.369672037869,False
2026-07-04,-10740.560928419898,False
2026-07-05,6034.980146707524,False
2026-07-06,-22187.175346804397,False
2026-07-08,8994.991044160462,False
2026-07-09,-115.11088274304257,False
2026-07-10,17393.537824227205,False
2026-07-11,-879.9065109383378,False
2026-07-12,-10235.2397480674,False
2026-07-13,-8415.012432930878,False
2026-07-14,-10937.085861340449,False
2026-07-15,3892.458924551089,False
2026-07-16,-5251.010944560514,False
2026-07-17,8098.753129970817,False
2026-07-18,1766.173159803412,False
2026-07-19,1861.4044345268533,False
2026-07-20,11903.124002759623,False
2026-07-21,-8427.67698631341,False
2026-07-24,2684.363562644256,False
2026-07-25,504.4069242957595,False
2026-07-26,2085.078085561303,False
2026-07-27,13796.45874907242,False
2026-07-28,797.9781805366881,False
2026-07-29,3518.479076839318,False
2026-07-30,-9274.248395043072,False
